"","count_distinct","count"
"11320",1,2
"11321",1,2
"11322",1,2
"11323",1,2
"11324",1,2
"11325",1,2
"11326",1,2
"11327",1,2
"11328",1,2
"11329",1,2
"11330",1,2
"11331",1,2
"11332",1,2
"11333",1,2
"11334",1,2
"11335",1,2
"11336",1,2
"11337",1,2
"11338",1,2
"11339",1,2
"11340",1,2
"11341",1,2
"11342",1,2
"11343",1,2
"11344",1,2
"11345",1,2
"11346",1,2
"11347",1,2
"11348",1,2
"11349",1,2
"11350",1,2
"11351",1,2
"11352",1,2
"11353",1,2
"11354",1,2
"11355",1,2
"11356",1,2
"11357",1,2
"11358",1,2
"11359",1,2
"11360",1,2
"11361",1,2
"11362",1,2
"11363",1,2
"11364",1,2
"11365",1,2
"11366",1,2
"11367",1,2
"11368",1,2
"11369",1,2
"11370",1,2
"11371",1,2
"11372",1,2
"11373",1,2
"11374",1,2
"11375",1,2
"11376",1,2
"11377",1,2
"11378",1,2
"11379",1,2
"11380",1,2
"11381",1,2
"11382",1,2
"11383",1,2
"11384",1,2
"11385",1,2
"11386",1,2
"11387",1,2
"11388",1,2
"11389",1,2
"11390",1,2
"11391",1,2
"11392",1,2
"11393",1,2
"11394",1,2
"11395",1,2
"11396",1,2
"11397",1,2
"11398",1,2
"11399",1,2
"11400",1,2
"11401",1,2
"11402",1,2
"11403",1,2
"11404",1,2
"11405",1,2
"11406",1,2
"11407",1,2
"11408",1,2
"11409",1,2
"11410",1,2
"11411",1,2
"11412",1,2
"11413",1,2
"11414",1,2
"11415",1,2
"11416",1,2
"11417",1,2
"11418",1,2
"11419",1,2
"11420",1,2
"11421",1,2
"11422",1,2
"11423",1,2
"11424",1,2
"11425",1,2
"11426",1,2
"11427",1,2
"11428",1,2
"11429",1,2
"11430",1,2
"11431",1,2
"11432",1,2
"11433",1,2
"11434",1,2
"11435",1,2
"11436",1,2
"11437",1,2
"11438",1,2
"11439",1,2
"11440",1,2
"11441",1,2
"11442",1,2
"11443",1,2
"11444",1,2
"11445",1,2
"11446",1,2
"11447",1,2
"11448",1,2
"11449",1,2
"11450",1,2
"11451",1,2
"11452",1,2
"11453",1,2
"11454",1,2
"11455",1,2
"11456",1,2
"11457",1,2
"11458",1,2
"11459",1,2
"11460",1,2
"11461",1,2
"11462",1,2
"11463",1,2
"11464",1,2
"11465",1,2
"11466",1,2
"11467",1,2
"11468",1,2
"11469",1,2
"11470",1,2
"11471",1,2
"11472",1,2
"11473",1,2
