"name_pt";"name_ascii_pt";"code";"name_en"
"sri lanca";"sri lanca";"SRI";"sri lanka"
"suazilândia";"suazilandia";"SUA";"swaziland"
"sudão";"sudao";"SUD";"sudan"
"suécia";"suecia";"SUE";"sweden"
"suíça";"suica";"SUI";"switzerland"
"tajiquistão";"tajiquistao";"TAD";"tajikistan"
"suriname";"suriname";"SUR";"suriname"
"moçambique";"mocambique";"MBQ";"mozambique"
"timor leste";"timor leste";"TMP";"timor-leste"
"tanzânia";"tanzania";"TAN";"tanzania"
"togo";"togo";"TGO";"togo"
"tokelau";"tokelau";"TKL";"tokelau"
"tonga";"tonga";"TON";"tonga"
"tunísia";"tunisia";"TUN";"tunisia"
"turquemenistão";"turquemenistao";"TUC";"turkmenistan"
"turquia";"turquia";"TUR";"turkey"
"tuvalu";"tuvalu";"TUV";"tuvalu"
"ucrânia";"ucrania";"UCR";"ukraine"
"uganda";"uganda";"UGA";"uganda"
"zimbabue";"zimbabue";"ZIN";"zimbabwe"
"uruguai";"uruguai";"URU";"uruguay"
"usbequistão";"usbequistao";"UZB";"uzbekistan"
"vietnã";"vietna";"VTN";"vietnam"
"venezuela";"venezuela";"VEN";"venezuela"
"zâmbia";"zambia";"ZAN";"zambia"
"laos";"laos";"LAO";"laos"
"madagáscar";"madagascar";"MAD";"madagascar"
"áfrica do sul";"africa do sul";"AFS";"south africa"
"bielo rússia";"bielo russia";"BEA";"belarus"
"lesoto";"lesoto";"LES";"lesotho"
"emirados árabes unidos";"emirados arabes unidos";"EAU";"united arab emirates"
"guiné equatorial";"guine equatorial";"GNQ";"equatorial guinea"
"vaticano";"vaticano";"VAT";"vatican"
"hong kong";"hong kong";"HKG";"hong kong"
"nicarágua";"nicaragua";"NIC";"nicaragua"
"papua nova guiné";"papua nova guine";"PNG";"papua new guinea"
"aruba";"aruba";"ABW";"aruba"
"cingapura";"cingapura";"CIN";"singapore"
"escócia";"escocia";"ESC";"scotland"
"holanda";"holanda";"HOL";"netherlands"
"ilhas midway";"ilhas midway";"MID";"midway island"
"ilhas nortfolk";"ilhas nortfolk";"NFK";"norfolk island"
"ilhas wake";"ilhas wake";"WAK";"wake island"
"ilhas wallis futuna";"ilhas wallis futuna";"WLF";"wallis futuna island"
"antartida";"antartida";"ATC";"antarctica"
"birmânia";"birmania";"BIR";"myanmar"
"dijibuti";"dijibuti";"DJI";"dijibuti"
"formosa";"formosa";"FOR";"formosa"
"gales";"gales";"GAL";"wales"
"iémen do sul";"iemen do sul";"IMS";"south yemen"
"irlanda do norte";"irlanda do norte";"IRN";"northern ireland"
"iugoslávia";"iugoslavia";"IUG";"yugoslavia"
"pafic island";"pafic island";"PCI";"pafic island"
"pitcairn";"pitcairn";"PCN";"pitcairn"
"reunião";"reuniao";"REU";"reunião"
"união soviética";"uniao sovietica";"URS";"soviet union"
"inglaterra";"inglaterra";"ING";"united kingdom"
"vanuatu";"vanuatu";"VUT";"vanuatu"
"antilhas holandesas";"antilhas holandesas";"AHL";"netherlands antilles"
"nova zelândia";"nova zelandia";"NZL";"new zealand"
"benim";"benim";"BEN";"benin"
"brunei darussalam";"brunei darussalam";"BRN";"brunei darussalam"
"coreia do sul";"coreia do sul";"CRS";"korea south"
"groelândia";"groelandia";"GRL";"greenland"
"república centro africana ";"republica centro africana ";"RCA";"central african republic"
"jamaica";"jamaica";"JAM";"jamaica"
"líbia";"libia";"LIB";"libyan arab jamahiriya"
"mauritânia";"mauritania";"MTN";"mauritania"
"paquistão";"paquistao";"PAQ";"pakistan"
"montenegro";"montenegro";"MNE";"montenegro"
"omã";"oma";"OMA";"oman"
"palau";"palau";"PLU";"palau"
"afeganistão";"afeganistao";"AFG";"afghanistan"
"panamá";"panama";"PAN";"panama"
"peru";"peru";"PER";"peru"
"paraguai";"paraguai";"PRG";"paraguay"
"santa lúcia";"santa lucia";"LCA";"saint lucia"
"são tomé e príncipe";"sao tome e principe";"STP";"sao tome and principe"
"tailândia";"tailandia";"TAI";"thailand"
"trindade e tobago";"trindade e tobago";"TRT";"trinidad and tobago"
"bósnia e herzegovina";"bosnia e herzegovina";"BOS";"bosnia and herzegovina"
"ilhas falklands (ilhas malvinas)";"ilhas falklands (ilhas malvinas)";"FLK";"falkland islands (islas malvinas)"
"território britânico do oceano índico";"territorio britanico do oceano indico";"IOT";"british indian ocean territory"
"ilhas turcas caicos";"ilhas turcas caicos";"TCA";"turcas caicos island"
"estados unidos";"estados unidos";"EUA";"united states"
"nova caledónia";"nova caledonia";"NCL";"new caledonia"
"antígua e barbuda";"antigua e barbuda";"ANB";"antigua and barbuda"
"república democrática do congo";"republica democratica do congo";"COD";"congo democratic republic"
"grã-bretanha";"gra-bretanha";"GBR";"united kingdom"
"argentina";"argentina";"ARG";"argentina"
"são vicente e granadinas";"sao vicente e granadinas";"VCT";"saint vincent and the grenadines"
"bermudas";"bermudas";"BER";"bermuda"
"burquina faso";"burquina faso";"BKF";"burkina faso"
"costa do marfim";"costa do marfim";"CMF";"ivory coast"
"eslovénia";"eslovenia";"SVN";"slovenia"
"guadalupe";"guadalupe";"GDL";"guadeloupe"
"guiné bissau";"guine bissau";"GNB";"guinea-bissau"
"ilhas cocos (keeling)";"ilhas cocos (keeling)";"CCK";"cocos (keeling) islands"
"islândia";"islandia";"ISL";"iceland"
"letónia";"letonia";"LET";"latvia"
"malásia";"malasia";"MAL";"malaysia"
"micronésia";"micronesia";"FSM";"micronesia"
"nigéria";"nigeria";"NGA";"nigeria"
"república dominicana";"republica dominicana";"DOM";"dominican republic"
