count, freq
1, 1
2, 1
3, 1
4, 1
5, 1
6, 1
7, 1
8, 1
9, 1
10, 1
11, 1
12, 1
13, 1
14, 1
15, 1
16, 1
17, 1
18, 1
19, 1
20, 1
21, 1
22, 1
23, 1
24, 1
25, 1
26, 1
27, 1
28, 1
29, 1
30, 1
31, 1
32, 1
33, 1
34, 1
35, 1
36, 1
37, 1
38, 1
39, 1
40, 1
41, 1
42, 1
43, 1
44, 1
45, 1
46, 1
47, 1
48, 1
49, 1
50, 1
51, 1
52, 1
53, 1
54, 1
55, 1
56, 1
57, 1
58, 1
59, 1
60, 1
61, 1
62, 1
63, 1
64, 1
65, 1
66, 1
67, 1
68, 1
69, 1
70, 1
71, 1
72, 1
73, 1
74, 1
75, 1
76, 1
77, 1
78, 1
79, 1
80, 1
81, 1
82, 1
83, 1
84, 1
85, 1
86, 1
87, 1
88, 1
89, 1
90, 1
91, 1
92, 1
93, 1
94, 1
95, 1
96, 2
97, 2
98, 2
99, 2
100, 2
101, 2
102, 2
103, 2
104, 2
105, 2
106, 2
107, 2
108, 2
109, 2
110, 2
111, 2
112, 2
113, 2
114, 2
115, 2
116, 2
117, 2
118, 2
119, 3
120, 3
121, 3
122, 3
123, 3
124, 3
125, 3
126, 3
127, 3
128, 3
129, 3
130, 3
131, 4
132, 4
133, 4
134, 4
135, 4
136, 4
137, 4
138, 4
139, 4
140, 4
141, 4
142, 4
143, 4
144, 5
145, 5
146, 5
147, 5
148, 5
149, 6
150, 6
151, 7
152, 7
153, 7
154, 7
155, 7
156, 8
157, 8
158, 9
159, 18
