count, freq
5454, 1
3124, 1
2333, 1
2277, 1
2249, 1
1753, 1
1431, 1
1215, 1
1027, 1
945, 1
936, 1
817, 1
792, 1
621, 1
554, 1
543, 1
536, 1
18, 1
530, 1
239, 1
444, 1
395, 1
32, 1
35, 1
357, 1
309, 1
304, 1
275, 1
46, 1
47, 1
50, 1
52, 1
257, 1
55, 1
62, 1
65, 1
73, 1
76, 1
79, 1
82, 1
105, 1
112, 1
145, 1
146, 1
160, 1
172, 1
182, 1
225, 1
238, 1
464, 1
53, 2
43, 2
42, 2
38, 2
36, 2
13, 2
16, 2
14, 2
20, 2
17, 2
623, 2
27, 3
24, 3
23, 4
15, 4
11, 4
12, 5
10, 8
9, 8
7, 9
6, 13
8, 13
5, 21
2, 30
3, 30
4, 31
1, 43
